image,species,individual_id,box
abandoned_games_room_01_8k_fov90_theta180_phi0_l_GT.png,feng,1,0 1 2 3
abandoned_games_room_01_8k_fov90_theta180_phi0_l_input.png,feng,1,0 1 2 3
abandoned_games_room_01_8k_fov90_theta300_phi0_c_GT.png,feng,2,0 1 2 3
abandoned_games_room_01_8k_fov90_theta300_phi0_c_input.png,feng,2,0 1 2 3
abandoned_hall_01_8k_fov90_theta0_phi0_c_GT.png,feng,3,0 1 2 3
abandoned_hall_01_8k_fov90_theta0_phi0_c_input.png,feng,3,0 1 2 3
abandoned_hall_01_8k_fov90_theta0_phi0_l_GT.png,feng,4,0 1 2 3
abandoned_hall_01_8k_fov90_theta0_phi0_l_input.png,feng,4,0 1 2 3
abandoned_hall_01_8k_fov90_theta0_phi0_r_GT.png,feng,5,0 1 2 3
abandoned_hall_01_8k_fov90_theta0_phi0_r_input.png,feng,5,0 1 2 3
abandoned_hall_01_8k_fov90_theta120_phi0_c_GT.png,feng,6,0 1 2 3
abandoned_hall_01_8k_fov90_theta120_phi0_c_input.png,feng,6,0 1 2 3
abandoned_hall_01_8k_fov90_theta120_phi0_l_GT.png,feng,7,0 1 2 3
abandoned_hall_01_8k_fov90_theta120_phi0_l_input.png,feng,7,0 1 2 3
abandoned_hall_01_8k_fov90_theta120_phi0_r_GT.png,feng,8,0 1 2 3
abandoned_hall_01_8k_fov90_theta120_phi0_r_input.png,feng,8,0 1 2 3
abandoned_hall_01_8k_fov90_theta180_phi0_c_GT.png,feng,9,0 1 2 3
abandoned_hall_01_8k_fov90_theta180_phi0_c_input.png,feng,9,0 1 2 3
abandoned_hall_01_8k_fov90_theta180_phi0_l_GT.png,feng,10,0 1 2 3
abandoned_hall_01_8k_fov90_theta180_phi0_l_input.png,feng,10,0 1 2 3
abandoned_hall_01_8k_fov90_theta180_phi0_r_GT.png,feng,11,0 1 2 3
abandoned_hall_01_8k_fov90_theta180_phi0_r_input.png,feng,11,0 1 2 3
abandoned_hall_01_8k_fov90_theta240_phi0_c_GT.png,feng,12,0 1 2 3
abandoned_hall_01_8k_fov90_theta240_phi0_c_input.png,feng,12,0 1 2 3
abandoned_hall_01_8k_fov90_theta240_phi0_l_GT.png,feng,13,0 1 2 3
abandoned_hall_01_8k_fov90_theta240_phi0_l_input.png,feng,13,0 1 2 3
abandoned_hall_01_8k_fov90_theta240_phi0_r_GT.png,feng,14,0 1 2 3
abandoned_hall_01_8k_fov90_theta240_phi0_r_input.png,feng,14,0 1 2 3
abandoned_hall_01_8k_fov90_theta300_phi0_c_GT.png,feng,15,0 1 2 3
abandoned_hall_01_8k_fov90_theta300_phi0_c_input.png,feng,15,0 1 2 3
abandoned_hall_01_8k_fov90_theta300_phi0_l_GT.png,feng,16,0 1 2 3
abandoned_hall_01_8k_fov90_theta300_phi0_l_input.png,feng,16,0 1 2 3
abandoned_hall_01_8k_fov90_theta300_phi0_r_GT.png,feng,17,0 1 2 3
abandoned_hall_01_8k_fov90_theta300_phi0_r_input.png,feng,17,0 1 2 3
abandoned_hall_01_8k_fov90_theta60_phi0_c_GT.png,feng,18,0 1 2 3
abandoned_hall_01_8k_fov90_theta60_phi0_c_input.png,feng,18,0 1 2 3
abandoned_hall_01_8k_fov90_theta60_phi0_l_GT.png,feng,19,0 1 2 3
abandoned_hall_01_8k_fov90_theta60_phi0_l_input.png,feng,19,0 1 2 3
abandoned_hall_01_8k_fov90_theta60_phi0_r_GT.png,feng,20,0 1 2 3
abandoned_hall_01_8k_fov90_theta60_phi0_r_input.png,feng,20,0 1 2 3
adams_place_bridge_8k_fov90_theta0_phi0_c_GT.png,feng,21,0 1 2 3
adams_place_bridge_8k_fov90_theta0_phi0_c_input.png,feng,21,0 1 2 3
adams_place_bridge_8k_fov90_theta0_phi0_l_GT.png,feng,22,0 1 2 3
adams_place_bridge_8k_fov90_theta0_phi0_l_input.png,feng,22,0 1 2 3
